stockid,stkname,cl,minbw_dte,minbw,sqdays,price,dte,rmk,web,model,flgbasic
1101,'台泥',1,'2012/10/16',0.039707117,12,40.2,'2013/09/13',NULL,NULL,NULL,'Y'
1102,’亞泥’,1,NULL,0,0,37.65,'2013/09/13',NULL,'http://www.wretch.cc/blog/eagle99/11080064','3.1','N'
1103,’嘉泥’,1,NULL,0,0,14.05,'2013/09/13',NULL,NULL,NULL,'N'
1104,’環泥’,1,NULL,0,0,23.2,'2013/09/13',NULL,NULL,NULL,'N'
1107,’建台’,2,NULL,0,0,0.7,'2012/06/06',NULL,NULL,NULL,'X'
1108,’幸福’,1,NULL,0,0,7.68,'2013/09/13',NULL,NULL,NULL,'N'
1109,’信大’,1,’2013/03/01',0.013315128,48,10.6,'2013/09/13',NULL,NULL,NULL,'N'
1110,’東泥’,1,’2013/02/06',0.046199295,43,15.4,'2013/09/13',NULL,NULL,NULL,'N'

